
Ghost Atom Coordinates:
1  cBq: Bq -5.0 -5.0 -5.0
2  cBq:  Bq -5.0 -5.0 -4.0
3  cBq:  Bq -5.0 -5.0 -3.0
4  cBq:  Bq -5.0 -5.0 -2.0
5  cBq:  Bq -5.0 -5.0 -1.0
6  cBq:  Bq -5.0 -5.0 0.0
7  cBq:  Bq -5.0 -5.0 1.0
8  cBq:  Bq -5.0 -5.0 2.0
9  cBq:  Bq -5.0 -5.0 3.0
10  cBq:  Bq -5.0 -5.0 4.0
11  cBq:  Bq -5.0 -5.0 5.0
12  cBq:  Bq -5.0 -4.0 -5.0
13  cBq:  Bq -5.0 -4.0 -4.0
14  cBq:  Bq -5.0 -4.0 -3.0
15  cBq:  Bq -5.0 -4.0 -2.0
16  cBq:  Bq -5.0 -4.0 -1.0
17  cBq:  Bq -5.0 -4.0 0.0
18  cBq:  Bq -5.0 -4.0 1.0
19  cBq:  Bq -5.0 -4.0 2.0
20  cBq:  Bq -5.0 -4.0 3.0
21  cBq:  Bq -5.0 -4.0 4.0
22  cBq:  Bq -5.0 -4.0 5.0
23  cBq:  Bq -5.0 -3.0 -5.0
24  cBq:  Bq -5.0 -3.0 -4.0
25  cBq:  Bq -5.0 -3.0 -3.0
26  cBq:  Bq -5.0 -3.0 -2.0
27  cBq:  Bq -5.0 -3.0 -1.0
28  cBq:  Bq -5.0 -3.0 0.0
29  cBq:  Bq -5.0 -3.0 1.0
30  cBq:  Bq -5.0 -3.0 2.0
31  cBq:  Bq -5.0 -3.0 3.0
32  cBq:  Bq -5.0 -3.0 4.0
33  cBq:  Bq -5.0 -3.0 5.0
34  cBq:  Bq -5.0 -2.0 -5.0
35  cBq:  Bq -5.0 -2.0 -4.0
36  cBq:  Bq -5.0 -2.0 -3.0
37  cBq:  Bq -5.0 -2.0 -2.0
38  cBq:  Bq -5.0 -2.0 -1.0
39  cBq:  Bq -5.0 -2.0 0.0
40  cBq:  Bq -5.0 -2.0 1.0
41  cBq:  Bq -5.0 -2.0 2.0
42  cBq:  Bq -5.0 -2.0 3.0
43  cBq:  Bq -5.0 -2.0 4.0
44  cBq:  Bq -5.0 -2.0 5.0
45  cBq:  Bq -5.0 -1.0 -5.0
46  cBq:  Bq -5.0 -1.0 -4.0
47  cBq:  Bq -5.0 -1.0 -3.0
48  cBq:  Bq -5.0 -1.0 -2.0
49  cBq:  Bq -5.0 -1.0 -1.0
50  cBq:  Bq -5.0 -1.0 0.0
51  cBq:  Bq -5.0 -1.0 1.0
52  cBq:  Bq -5.0 -1.0 2.0
53  cBq:  Bq -5.0 -1.0 3.0
54  cBq:  Bq -5.0 -1.0 4.0
55  cBq:  Bq -5.0 -1.0 5.0
56  cBq:  Bq -5.0 0.0 -5.0
57  cBq:  Bq -5.0 0.0 -4.0
58  cBq:  Bq -5.0 0.0 -3.0
59  cBq:  Bq -5.0 0.0 -2.0
60  cBq:  Bq -5.0 0.0 -1.0
61  cBq:  Bq -5.0 0.0 0.0
62  cBq:  Bq -5.0 0.0 1.0
63  cBq:  Bq -5.0 0.0 2.0
64  cBq:  Bq -5.0 0.0 3.0
65  cBq:  Bq -5.0 0.0 4.0
66  cBq:  Bq -5.0 0.0 5.0
67  cBq:  Bq -5.0 1.0 -5.0
68  cBq:  Bq -5.0 1.0 -4.0
69  cBq:  Bq -5.0 1.0 -3.0
70  cBq:  Bq -5.0 1.0 -2.0
71  cBq:  Bq -5.0 1.0 -1.0
72  cBq:  Bq -5.0 1.0 0.0
73  cBq:  Bq -5.0 1.0 1.0
74  cBq:  Bq -5.0 1.0 2.0
75  cBq:  Bq -5.0 1.0 3.0
76  cBq:  Bq -5.0 1.0 4.0
77  cBq:  Bq -5.0 1.0 5.0
78  cBq:  Bq -5.0 2.0 -5.0
79  cBq:  Bq -5.0 2.0 -4.0
80  cBq:  Bq -5.0 2.0 -3.0
81  cBq:  Bq -5.0 2.0 -2.0
82  cBq:  Bq -5.0 2.0 -1.0
83  cBq:  Bq -5.0 2.0 0.0
84  cBq:  Bq -5.0 2.0 1.0
85  cBq:  Bq -5.0 2.0 2.0
86  cBq:  Bq -5.0 2.0 3.0
87  cBq:  Bq -5.0 2.0 4.0
88  cBq:  Bq -5.0 2.0 5.0
89  cBq:  Bq -5.0 3.0 -5.0
90  cBq:  Bq -5.0 3.0 -4.0
91  cBq:  Bq -5.0 3.0 -3.0
92  cBq:  Bq -5.0 3.0 -2.0
93  cBq:  Bq -5.0 3.0 -1.0
94  cBq:  Bq -5.0 3.0 0.0
95  cBq:  Bq -5.0 3.0 1.0
96  cBq:  Bq -5.0 3.0 2.0
97  cBq:  Bq -5.0 3.0 3.0
98  cBq:  Bq -5.0 3.0 4.0
99  cBq:  Bq -5.0 3.0 5.0
100  cBq:  Bq -5.0 4.0 -5.0
101  cBq:  Bq -5.0 4.0 -4.0
102  cBq:  Bq -5.0 4.0 -3.0
103  cBq:  Bq -5.0 4.0 -2.0
104  cBq:  Bq -5.0 4.0 -1.0
105  cBq:  Bq -5.0 4.0 0.0
106  cBq:  Bq -5.0 4.0 1.0
107  cBq:  Bq -5.0 4.0 2.0
108  cBq:  Bq -5.0 4.0 3.0
109  cBq:  Bq -5.0 4.0 4.0
110  cBq:  Bq -5.0 4.0 5.0
111  cBq:  Bq -5.0 5.0 -5.0
112  cBq:  Bq -5.0 5.0 -4.0
113  cBq:  Bq -5.0 5.0 -3.0
114  cBq:  Bq -5.0 5.0 -2.0
115  cBq:  Bq -5.0 5.0 -1.0
116  cBq:  Bq -5.0 5.0 0.0
117  cBq:  Bq -5.0 5.0 1.0
118  cBq:  Bq -5.0 5.0 2.0
119  cBq:  Bq -5.0 5.0 3.0
120  cBq:  Bq -5.0 5.0 4.0
121  cBq:  Bq -5.0 5.0 5.0
122  cBq:  Bq -4.0 -5.0 -5.0
123  cBq:  Bq -4.0 -5.0 -4.0
124  cBq:  Bq -4.0 -5.0 -3.0
125  cBq:  Bq -4.0 -5.0 -2.0
126  cBq:  Bq -4.0 -5.0 -1.0
127  cBq:  Bq -4.0 -5.0 0.0
128  cBq:  Bq -4.0 -5.0 1.0
129  cBq:  Bq -4.0 -5.0 2.0
130  cBq:  Bq -4.0 -5.0 3.0
131  cBq:  Bq -4.0 -5.0 4.0
132  cBq:  Bq -4.0 -5.0 5.0
133  cBq:  Bq -4.0 -4.0 -5.0
134  cBq:  Bq -4.0 -4.0 -4.0
135  cBq:  Bq -4.0 -4.0 -3.0
136  cBq:  Bq -4.0 -4.0 -2.0
137  cBq:  Bq -4.0 -4.0 -1.0
138  cBq:  Bq -4.0 -4.0 0.0
139  cBq:  Bq -4.0 -4.0 1.0
140  cBq:  Bq -4.0 -4.0 2.0
141  cBq:  Bq -4.0 -4.0 3.0
142  cBq:  Bq -4.0 -4.0 4.0
143  cBq:  Bq -4.0 -4.0 5.0
144  cBq:  Bq -4.0 -3.0 -5.0
145  cBq:  Bq -4.0 -3.0 -4.0
146  cBq:  Bq -4.0 -3.0 -3.0
147  cBq:  Bq -4.0 -3.0 -2.0
148  cBq:  Bq -4.0 -3.0 -1.0
149  cBq:  Bq -4.0 -3.0 0.0
150  cBq:  Bq -4.0 -3.0 1.0
151  cBq:  Bq -4.0 -3.0 2.0
152  cBq:  Bq -4.0 -3.0 3.0
153  cBq:  Bq -4.0 -3.0 4.0
154  cBq:  Bq -4.0 -3.0 5.0
155  cBq:  Bq -4.0 -2.0 -5.0
156  cBq:  Bq -4.0 -2.0 -4.0
157  cBq:  Bq -4.0 -2.0 -3.0
158  cBq:  Bq -4.0 -2.0 -2.0
159  cBq:  Bq -4.0 -2.0 -1.0
160  cBq:  Bq -4.0 -2.0 0.0
161  cBq:  Bq -4.0 -2.0 1.0
162  cBq:  Bq -4.0 -2.0 2.0
163  cBq:  Bq -4.0 -2.0 3.0
164  cBq:  Bq -4.0 -2.0 4.0
165  cBq:  Bq -4.0 -2.0 5.0
166  cBq:  Bq -4.0 -1.0 -5.0
167  cBq:  Bq -4.0 -1.0 -4.0
168  cBq:  Bq -4.0 -1.0 -3.0
169  cBq:  Bq -4.0 -1.0 -2.0
170  cBq:  Bq -4.0 -1.0 -1.0
171  cBq:  Bq -4.0 -1.0 0.0
172  cBq:  Bq -4.0 -1.0 1.0
173  cBq:  Bq -4.0 -1.0 2.0
174  cBq:  Bq -4.0 -1.0 3.0
175  cBq:  Bq -4.0 -1.0 4.0
176  cBq:  Bq -4.0 -1.0 5.0
177  cBq:  Bq -4.0 0.0 -5.0
178  cBq:  Bq -4.0 0.0 -4.0
179  cBq:  Bq -4.0 0.0 -3.0
180  cBq:  Bq -4.0 0.0 -2.0
181  cBq:  Bq -4.0 0.0 -1.0
182  cBq:  Bq -4.0 0.0 0.0
183  cBq:  Bq -4.0 0.0 1.0
184  cBq:  Bq -4.0 0.0 2.0
185  cBq:  Bq -4.0 0.0 3.0
186  cBq:  Bq -4.0 0.0 4.0
187  cBq:  Bq -4.0 0.0 5.0
188  cBq:  Bq -4.0 1.0 -5.0
189  cBq:  Bq -4.0 1.0 -4.0
190  cBq:  Bq -4.0 1.0 -3.0
191  cBq:  Bq -4.0 1.0 -2.0
192  cBq:  Bq -4.0 1.0 -1.0
193  cBq:  Bq -4.0 1.0 0.0
194  cBq:  Bq -4.0 1.0 1.0
195  cBq:  Bq -4.0 1.0 2.0
196  cBq:  Bq -4.0 1.0 3.0
197  cBq:  Bq -4.0 1.0 4.0
198  cBq:  Bq -4.0 1.0 5.0
199  cBq:  Bq -4.0 2.0 -5.0
200  cBq:  Bq -4.0 2.0 -4.0
201  cBq:  Bq -4.0 2.0 -3.0
202  cBq:  Bq -4.0 2.0 -2.0
203  cBq:  Bq -4.0 2.0 -1.0
204  cBq:  Bq -4.0 2.0 0.0
205  cBq:  Bq -4.0 2.0 1.0
206  cBq:  Bq -4.0 2.0 2.0
207  cBq:  Bq -4.0 2.0 3.0
208  cBq:  Bq -4.0 2.0 4.0
209  cBq:  Bq -4.0 2.0 5.0
210  cBq:  Bq -4.0 3.0 -5.0
211  cBq:  Bq -4.0 3.0 -4.0
212  cBq:  Bq -4.0 3.0 -3.0
213  cBq:  Bq -4.0 3.0 -2.0
214  cBq:  Bq -4.0 3.0 -1.0
215  cBq:  Bq -4.0 3.0 0.0
216  cBq:  Bq -4.0 3.0 1.0
217  cBq:  Bq -4.0 3.0 2.0
218  cBq:  Bq -4.0 3.0 3.0
219  cBq:  Bq -4.0 3.0 4.0
220  cBq:  Bq -4.0 3.0 5.0
221  cBq:  Bq -4.0 4.0 -5.0
222  cBq:  Bq -4.0 4.0 -4.0
223  cBq:  Bq -4.0 4.0 -3.0
224  cBq:  Bq -4.0 4.0 -2.0
225  cBq:  Bq -4.0 4.0 -1.0
226  cBq:  Bq -4.0 4.0 0.0
227  cBq:  Bq -4.0 4.0 1.0
228  cBq:  Bq -4.0 4.0 2.0
229  cBq:  Bq -4.0 4.0 3.0
230  cBq:  Bq -4.0 4.0 4.0
231  cBq:  Bq -4.0 4.0 5.0
232  cBq:  Bq -4.0 5.0 -5.0
233  cBq:  Bq -4.0 5.0 -4.0
234  cBq:  Bq -4.0 5.0 -3.0
235  cBq:  Bq -4.0 5.0 -2.0
236  cBq:  Bq -4.0 5.0 -1.0
237  cBq:  Bq -4.0 5.0 0.0
238  cBq:  Bq -4.0 5.0 1.0
239  cBq:  Bq -4.0 5.0 2.0
240  cBq:  Bq -4.0 5.0 3.0
241  cBq:  Bq -4.0 5.0 4.0
242  cBq:  Bq -4.0 5.0 5.0
243  cBq:  Bq -3.0 -5.0 -5.0
244  cBq:  Bq -3.0 -5.0 -4.0
245  cBq:  Bq -3.0 -5.0 -3.0
246  cBq:  Bq -3.0 -5.0 -2.0
247  cBq:  Bq -3.0 -5.0 -1.0
248  cBq:  Bq -3.0 -5.0 0.0
249  cBq:  Bq -3.0 -5.0 1.0
250  cBq:  Bq -3.0 -5.0 2.0
251  cBq:  Bq -3.0 -5.0 3.0
252  cBq:  Bq -3.0 -5.0 4.0
253  cBq:  Bq -3.0 -5.0 5.0
254  cBq:  Bq -3.0 -4.0 -5.0
255  cBq:  Bq -3.0 -4.0 -4.0
256  cBq:  Bq -3.0 -4.0 -3.0
257  cBq:  Bq -3.0 -4.0 -2.0
258  cBq:  Bq -3.0 -4.0 -1.0
259  cBq:  Bq -3.0 -4.0 0.0
260  cBq:  Bq -3.0 -4.0 1.0
261  cBq:  Bq -3.0 -4.0 2.0
262  cBq:  Bq -3.0 -4.0 3.0
263  cBq:  Bq -3.0 -4.0 4.0
264  cBq:  Bq -3.0 -4.0 5.0
265  cBq:  Bq -3.0 -3.0 -5.0
266  cBq:  Bq -3.0 -3.0 -4.0
267  cBq:  Bq -3.0 -3.0 -3.0
268  cBq:  Bq -3.0 -3.0 -2.0
269  cBq:  Bq -3.0 -3.0 -1.0
270  cBq:  Bq -3.0 -3.0 0.0
271  cBq:  Bq -3.0 -3.0 1.0
272  cBq:  Bq -3.0 -3.0 2.0
273  cBq:  Bq -3.0 -3.0 3.0
274  cBq:  Bq -3.0 -3.0 4.0
275  cBq:  Bq -3.0 -3.0 5.0
276  cBq:  Bq -3.0 -2.0 -5.0
277  cBq:  Bq -3.0 -2.0 -4.0
278  cBq:  Bq -3.0 -2.0 -3.0
279  cBq:  Bq -3.0 -2.0 -2.0
280  cBq:  Bq -3.0 -2.0 -1.0
281  cBq:  Bq -3.0 -2.0 0.0
282  cBq:  Bq -3.0 -2.0 1.0
283  cBq:  Bq -3.0 -2.0 2.0
284  cBq:  Bq -3.0 -2.0 3.0
285  cBq:  Bq -3.0 -2.0 4.0
286  cBq:  Bq -3.0 -2.0 5.0
287  cBq:  Bq -3.0 -1.0 -5.0
288  cBq:  Bq -3.0 -1.0 -4.0
289  cBq:  Bq -3.0 -1.0 -3.0
290  cBq:  Bq -3.0 -1.0 -2.0
291  cBq:  Bq -3.0 -1.0 -1.0
292  cBq:  Bq -3.0 -1.0 0.0
293  cBq:  Bq -3.0 -1.0 1.0
294  cBq:  Bq -3.0 -1.0 2.0
295  cBq:  Bq -3.0 -1.0 3.0
296  cBq:  Bq -3.0 -1.0 4.0
297  cBq:  Bq -3.0 -1.0 5.0
298  cBq:  Bq -3.0 0.0 -5.0
299  cBq:  Bq -3.0 0.0 -4.0
300  cBq:  Bq -3.0 0.0 -3.0
301  cBq:  Bq -3.0 0.0 -2.0
302  cBq:  Bq -3.0 0.0 -1.0
303  cBq:  Bq -3.0 0.0 0.0
304  cBq:  Bq -3.0 0.0 1.0
305  cBq:  Bq -3.0 0.0 2.0
306  cBq:  Bq -3.0 0.0 3.0
307  cBq:  Bq -3.0 0.0 4.0
308  cBq:  Bq -3.0 0.0 5.0
309  cBq:  Bq -3.0 1.0 -5.0
310  cBq:  Bq -3.0 1.0 -4.0
311  cBq:  Bq -3.0 1.0 -3.0
